title;description;url;image
Web Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/Soh-ham/web-todo-app.git;1.png
GUI Todo App;A distraction-free graphical user interface app to help you creating and completing tasks.;https://github.com/Soh-ham/simpleGUI_todo_app;1.png
Portfolio Website;This website that you are visualizing right now, built entirely in Python to showcase coding projects and apps.;https://github.com/Soh-ham/portfolio_web_app.git;2.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/Soh-ham/pdf-template;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/Soh-ham/invoice-generation.git;4.png
Send an email with API news;A script that sends news to a specified email address.;https://github.com/Soh-ham/news-api-email.git;5.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/Soh-ham/weather-api;6.png
*Download Cleaner;A script that monitors the Downloads folder and deletes old files keeping the folder clean.;https://github.com/Soh-ham?tab=repositories;7.png
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://github.com/Soh-ham/scraping-tours-sql;8.png
Chatbot GUI;A chatbot that can discuss anything with a human and is built using OpenAI ChatGPT API.;https://github.com/Soh-ham/chatbot-gpt-gui.git;10.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://github.com/Soh-ham/email-webcam-detection;11.png
*Typing Analyzer;A program that monitors the computer keyboard and returns the most typed words of the session.;https://github.com/Soh-ham?tab=repositories;12.png
*Internet Speed Analysis;A program that records the internet speed every few seconds and plots the values on the browser.;https://github.com/Soh-ham?tab=repositories;13.png
*Monitoring Data;A program that monitors a particular website and periodically records the data to a remote server.;https://github.com/Soh-ham?tab=repositories;14.png
*Visualizing Data;A program that visualises the data collected in the previous monitoring program. ;https://github.com/Soh-ham?tab=repositories;15.png
Visualizing Weather Forecast;A data web app that visualises the weather forecast for the next five days of any city.;https://github.com/Soh-ham/weather-forecast-data-dashboard;16.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://github.com/Soh-ham/student-management-system.git;17.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with a MySQL database backend.;https://github.com/Soh-ham/student-management-system-mysql.git;17.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://github.com/Soh-ham/restaurant-menu;19.png
*Online Store;A Django online store app where users can place orders and sellers can manage them.;https://github.com/Soh-ham?tab=repositories;20.png
Company Website;A streamlit company website.;https://github.com/Soh-ham/company_website;20.png
TXT to PDF;Generate a multipage pdf file for each text file in directory.;https://github.com/Soh-ham/TXT-to-PDF;20.png
NASA image of the day;Visualize NASA image of the day with title and description with API.;https://github.com/Soh-ham/Astronomy-image-of-the-day.git;20.png
Happiness data app;Visualize happiness, generosity and GDP.;https://github.com/Soh-ham/happiness-data-app;15.png
Dictionary API;A webapp made with flask to visualize meaning of words.;https://github.com/Soh-ham/dictionary-api;15.png
Temperature Scraper;Web scraper that retrieves data from a website and stores it in a SQLite database.;https://github.com/Soh-ham/scrape-temperature-data;15.png
Hotel Booking;This project is a hotel booking system that allows customers to book a hotel room and optionally book a spa package.;https://github.com/Soh-ham/hotel-booking-oop.git;18.png
Flatmates Bill;This app helps flatmates manage their shared expenses more efficiently.;https://github.com/Soh-ham/Flatmates-bill.git;3.png
